start	end	text
480	4960	Good, I hear some interesting discussions already as I come into the room.
4960	9840	From these discussions, I gather that you are trying out local models.
9840	16480	Yes, we're trying our best to not have to pay for something online.
16480	19160	You'll see where this goes, I think, I fear.
19160	21760	But yeah, I'm curious to hear your experiences.
21760	26320	You've tried things, so maybe not all of us have tried these things, so maybe some of
26320	31120	you can give an introduction to what you tried.
31120	38160	I can, because mine was the worst experience, but it was also the first, so we can build
38160	45280	up on top of that, because what I did is I installed Olama just on a CPU, 8 gigabytes of RAM, and
45280	48080	then I tried to run Gemma 4.
48080	50160	Okay, how many parameters is that?
50160	55120	The smallest one, it has like, oh, they do some magic where they have effective parameters.
55120	60320	I think you should say first, Gemma 4 comes in four different variants.
60320	64400	2 billion, 4 billion, 26 billion, and 31 billion.
64400	69920	And the 26 billion has only 4 billion active and the others passive, whatever that means.
69920	74000	But the same for the E2B, because that's also like the effective 2 billion,
75280	77200	that's why it says that what's the E?
77200	79440	But that doesn't have passive parameters.
79440	83920	It doesn't, but they do some magic where they hide some layers, I don't know.
83920	84480	Yeah.
84480	90240	Because also there, 2 billion parameters are way larger than the Quen models, for example.
91680	94960	And that's why those didn't run on my PC at all.
95600	96960	I don't have enough RAM.
96960	101120	Then we started to run it on Otis computer.
101120	106560	You have 16 gigabytes of VRAM, so we managed, supposedly, what?
107360	114720	I mean, it's sort of fake because it's an integrated GPU and it can share the RAM with
115280	119040	the CPU and it can share up to 60 megabytes.
119040	121680	So 16 gigabyte models fit.
122560	134880	And then I chose, technically, the Gemma 431D should also fit in some quantizations, possibly.
135920	143280	The annoying thing is that it takes some experimentation to make these models work on the laptop, because
145440	149920	first of all, you need RAM reserved for your operating system and to run the graphical environment.
150560	158000	So you can't just put all of your, you can't just put the model in the complete GPU VRAM,
158800	160000	and because then nothing works.
160880	168720	So you have to manually experiment how many layers of the model you want to load off to the GPU.
168720	173440	And that's, it's not trivial, I guess.
175280	187280	But I made it work with the 26 gigabyte model, the 26 billion parameter model, which is 15.6 gigabytes required.
188000	197040	It just fits, but I can't put the whole model in, into the GPU because then everything crashes.
197040	199040	So I still have to select some layers.
199920	206800	And then it runs at about 16 to 13 tokens per second.
207600	208720	That's very good.
208720	209760	Which is okay.
210640	216880	I just tried converting one of Henrik's exercise sheets into types.
